,created_at,tweet_text
0,2022-01-24 21:07:19+00:00,Maybe firing truck drivers because of their vaccination status during a supply chain crisis wasn’t a good idea?
1,2022-01-24 21:10:11+00:00,#AllLivesMatter https://t.co/PRFl8ILZNF
2,2022-01-24 13:41:30+00:00,"Joe Biden is wrong, there is NO right to abortion in the Constitution."
3,2022-01-24 20:13:39+00:00,"@Missouri_Mapper @BillEigel I made a @davesredist map of @NickBSchroer’s map. That they made a big deal of the numbers is crazy. 2 over by 1 and 1 under by 1.

There really should be a larger deviation than 0.000000%.

https://t.co/af7jdSOgML"
4,2022-01-24 14:38:05+00:00,Send American troops to the southern border.
5,2022-01-24 02:50:28+00:00,Is Bob Gibson the greatest P in World Series history? He helped the @Cardinals to 3 pennants &amp; started 3 times in each WS. Went 7-2; 8 CG in 9 starts; 1.89 ERA. Read his @sabr bio https://t.co/5C6C8MEnv0 https://t.co/XXOeDoIASW
6,2022-01-24 00:51:19+00:00,"And suddenly legacy media cares about borders, and sovereignty, and invasions. As long as they’re not ours. https://t.co/KGTt6G13MJ"
7,2022-01-24 02:58:11+00:00,"What an AMAZING comeback for the Kansas City Chiefs! 

So happy for my friend and colleague @HARRISFAULKNER!

What a game!"
8,2022-01-24 02:58:48+00:00,That was the #SuperBowl. https://t.co/R2kAtDPApJ
9,2022-01-24 02:59:54+00:00,Our nation can’t survive if we continue killing our children.
10,2022-01-24 02:59:56+00:00,"You wanted a game?

THAT’S a game.

#chiefskingdom https://t.co/C83MX0TSlG"
11,2022-01-24 03:00:01+00:00,"If abortion is health care, why is the patient killed?"
12,2022-01-24 02:56:49+00:00,"UNREAL ENDING.

CHIEFS ARE HEADING TO THE AFC CHAMPIONSHIP https://t.co/NhehIrIHpl"
13,2022-01-23 21:21:53+00:00,And a threat to democracy. https://t.co/6wDqsmqu5T
14,2022-01-24 02:19:37+00:00,Aggressive Democrat redistricting in NV. #moleg ⁦@MissouriGOP⁩ ⁦@MOHouseGOP⁩ ⁦@MoSenateGOP⁩ ⁦@SenateCaucus⁩ ⁦@MissouriCR⁩  https://t.co/RFMHYQpczc
15,2022-01-24 02:17:20+00:00,Aggressive Democrat gerrymandering in Oregon. #moleg ⁦@SenateCaucus⁩ ⁦@MOHouseGOP⁩ ⁦@MoSenateGOP⁩ ⁦@MissouriCR⁩ ⁦@MissouriGOP⁩  https://t.co/xQY8vfESMX
16,2022-01-24 02:12:41+00:00,"@NickBSchroer @DLHoskins @BobOnderMO @BillEigel If MS can ban CRT, certainly we can. Let's make it happen before end of month. https://t.co/ZElryP5DIs"
17,2022-01-19 16:45:01+00:00,@JohnDWiemann Democrats are agreeing with you so there's a problem. You're attacking another GOP rep using the word incompetence so there's another problem. As your constituent I'd prefer you find a way to get the 7-1 or 6-2 as a last resort rather than attacking conservative representatives.
18,2022-01-23 00:39:30+00:00,"“I've noticed that everyone who is for abortion has already been born.”

- Ronald Reagan #MarchForLife"
19,2022-01-23 00:41:46+00:00,"Dr Malone: ""For me, this is a battle that has completely changed my life, my way of thinking and my perspective on my government and world leaders. There is no going back for me. I will not let this great nation, this world go down the road of totalitarianism."""
20,2022-01-22 19:52:04+00:00,@NickBSchroer @jmmurphy8 Indeed Happy Birthday Jim!! https://t.co/LrFYRSKShv
21,2022-01-22 05:00:00+00:00,"Jim Abbott, now 54, was born in 1967 in Flint, Michigan, missing his right hand, his arm extending to just past his elbow.

But he became a standout pitcher on the baseball team and the quarterback on the football team in high school. https://t.co/GSq2vAJT2U"
22,2022-01-21 16:45:12+00:00,"BREAKING: The Missouri Attorney General's Office filed suit against the Francis Howell R-III School District to halt the unlawful mask mandate in their school district. 

https://t.co/4j6CKZcu21 https://t.co/l5dutcfdDF"
23,2022-01-22 02:57:46+00:00,@hockey_samurai Last Saturday  Glenn watching  his great grand son play in the arena named after him 🥅 https://t.co/MIPRE3kQ30
24,2022-01-21 14:57:34+00:00,"Today, we stand with all those who are marching for life in Washington, DC!"
25,2022-01-21 17:14:44+00:00,"Thank You for your #Leadership in #moleg 🇺🇸🦅🇺🇸
@NickBSchroer 

https://t.co/RKywR7gTEY"
26,2022-01-21 16:19:41+00:00,@Who_Can_Say @GOP @NickBSchroer Then your argument of bodily autonomy is irrelevant.
27,2022-01-21 14:31:19+00:00,"This is a book about racism, sure. It is also about incest and child molestation. Like when Pecola is doing dishes, and her drunk father rapes her.

Good for Wentzville. https://t.co/l6OXJlTGzR"
28,2022-01-20 17:03:54+00:00,"Represent your constituents!
#moleg #mosen
If you haven't noticed #WeThePeople are in a battle for the survival of our country!
🎯#PlayToWIN🎯 https://t.co/sOspjenDkV"
29,2022-01-21 03:47:58+00:00,The only place Democrats don't want you to show ID is the voting booth...
30,2022-01-21 15:34:08+00:00,This could be the last March for Life before Roe v. Wade is overturned!
31,2022-01-21 15:26:35+00:00,"@Who_Can_Say @GOP @NickBSchroer A developing baby is not a body part. It's a separate life, with separate DNA and even blood type."
32,2022-01-20 23:48:00+00:00,"TODAY: Senate Democrats voted to block a bill that would inform parents about sexually explicit material in school libraries.  It’s a similar bill Gov. Terry McAuliffe vetoed and it’s a bill Gov. Glenn Youngkin called on Virginia lawmakers to pass.

Story: https://t.co/iwnzHt1Lz4 https://t.co/wfSoXNsij0"
33,2022-01-21 14:34:27+00:00,@Who_Can_Say @SpeakerTimJones @NickBSchroer @933KWTO @NewstalkSTL Mother Teresa is a bad person according to the Left now.  LOL
34,2022-01-21 14:27:01+00:00,"Today, thousands of Americans will march on behalf of millions more who cannot.
 
We will give a voice to the voiceless and speak for those who can’t speak or stand up for themselves."
35,2022-01-21 14:26:03+00:00,"BREAKING: Lake Mary City Commissioner Justin York has endorsed my campaign for Congress!

Commissioner York is one of hardest working officials in Seminole County &amp; a strong defender of the Constitution 🇺🇸

Support my #AmericaFirst campaign here!👇
https://t.co/ndkYhvwz4m https://t.co/l1ajD4X74a"
36,2022-01-21 14:05:00+00:00,There is no good faith basis for vaccine mandates.
37,2022-01-21 14:24:03+00:00,"""The so-called right to abortion has portrayed the greatest of gifts - a child - as a competitor, an intrusion, and an inconvenience."" 

- St. Mother Teresa

#MarchForLife #ProLife 
@933KWTO @NewstalkSTL"
38,2022-01-21 00:21:32+00:00,Thank you @CoachmikeStl for everything you have done to get me to this point.
39,2022-01-21 00:20:58+00:00,#miz #stl
40,2022-01-21 00:14:47+00:00,"#AGTG 
Blessed to receive a SEC PWO offer from the University of Missouri 💯 💪@JaredRussellMIZ @CoachKMcDaniel @CoachDjSmith @mjohnson7672 @CoachmikeStl @stlhssporttalk @AllenTrieu @GSV_STL @JPRockMO https://t.co/CCeosdpX9h"
41,2022-01-20 20:06:17+00:00,"Will Missouri pass a 7-1 or 6-2 congressional map? The debate is heating up 🔥 🗳 in the #MOLeg Find out where the map stands tonight at 7:00 from @danshaul113, @BobOnderMO and @jmmurphy8 RSVP and Details https://t.co/F3XWBBZOt3 #MOLeg https://t.co/Vjgz026m2R"
