tweet_id,tweet_created_at,tweet_text,tweet_lang,tweet_source,tweet_reply_settings,tweet_conversation_id,tweet_in_response_to_user,tweet_username,tweet_user_tweet_count,tweet_user_description,tweet_user_location,tweet_user_created_at,tweet_user_pinned_tweet,tweet_user_profile_url,tweet_user_verified,tweet_user_listed_count,tweet_user_following_count,tweet_user_followers_count,tweet_reply_count,tweet_like_count,tweet_quote_count,tweet_reply_count,tweet_reference_type,tweet_reference_id,tweet_clean_text,tweet_sentiment_all,tweet_sentiment_compound,tweet_hashtags,tweet_annotations,tweet_urls,tweet_mentions
1481115615469391872,2022-01-12 04:07:35+00:00,"What a stupid bill. He wants to prevent teachers and schools teaching the history of out country. Students should be taught what occurred in the past to hopefully keep it from happening again.

Missouri proposal would ban critical race theory in schools https://t.co/HwYcx2Dqoo",en,Twitter Web App,everyone,1481115615469391872,,2183871751,"user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object","user_id                                                      15992923
user_name                                                  trianglman
followers_count                                                  1114
tweet_count                                                    102745
user_description    Proud that Donald Trump is trying to classify ...
user_location                                                Missouri
user_created_at                                            08/26/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                       75
following_count                                                  1194
pinned_tweet                                                     None
Name: 1, dtype: object",0,0,0,0,,,What a stupid bill. He wants to prevent teachers and schools teaching the history of out country. Students should be taught what occurred in the past to hopefully keep it from happening again. Missouri proposal would ban critical race theory in schools,"{'neg': 0.189, 'neu': 0.733, 'pos': 0.077, 'compound': -0.7579}",-0.7579,,"['Place', 'Missouri']",['https://www.ky3.com/2022/01/11/missouri-proposal-would-ban-critical-race-theory-schools/'],
1481114412132020226,2022-01-12 04:02:48+00:00,"Average starting salary for a PhD is $80,000 - $100,000 or more.

Average starting salary for a Missouri teacher is $40,000 - $50,000.

How much do Reps. Richey and Schroer plan to add to school budgets to pay teachers?",en,TweetDeck,everyone,1481114412132020226,,15992923,"user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object","user_id                                                      26960794
user_name                                              jjmeanparakeet
followers_count                                                    96
tweet_count                                                      1285
user_description    Citizens Committee  for Flood Relief was found...
user_location                                       De Soto Missouri 
user_created_at                                            03/27/2009
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        1
following_count                                                   157
pinned_tweet                                      1475558425903960065
Name: 2, dtype: object",0,0,0,0,,,"Average starting salary for a PhD is $80,000 - $100,000 or more. Average starting salary for a Missouri teacher is $40,000 - $50,000. How much do Reps. Richey and Schroer plan to add to school budgets to pay teachers?","{'neg': 0.04, 'neu': 0.96, 'pos': 0.0, 'compound': -0.1027}",-0.1027,,"['Organization', 'Missouri', 'Person', 'Richey', 'Organization', 'Schroer']",,
1481113449270816770,2022-01-12 03:58:58+00:00,@MO_HouseDems So tired of it.  These teachers and counselors and administrators have just as much student loan debt as the the other states. Missouri must do better!,en,Twitter for Android,everyone,1480929795361943563,1032685439034028032,26960794,"user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object","user_id                                           1032685439034028032
user_name                                                MO_HouseDems
followers_count                                                  2103
tweet_count                                                      2049
user_description    The MHDCC is the official campaign committee f...
user_location                                      Jefferson City, MO
user_created_at                                            08/23/2018
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/TrnK1cSxww
verified_status                                                 False
listed_count                                                       35
following_count                                                   728
pinned_tweet                                      1377635317293977607
Name: 3, dtype: object",0,0,0,0,replied_to,1480929795361943563,So tired of it. These teachers and counselors and administrators have just as much student loan debt as the the other states. Missouri must do better!,"{'neg': 0.188, 'neu': 0.721, 'pos': 0.091, 'compound': -0.474}",-0.474,,"['Place', 'Missouri']",,['MO_HouseDems']
1481095522622615555,2022-01-12 02:47:44+00:00,Missouri school districts worried about getting stranded up Eric Schmitt's Creek need to just protect kids and teachers and let the AG come after them. This is the exact time we need to be masking/mitigating. Timing is everything.,en,Twitter Web App,everyone,1481095522622615555,,387742522,"user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object","user_id                                                     387742522
user_name                                                    davishtv
followers_count                                                   718
tweet_count                                                      7922
user_description    Broadcast Journalism adviser @HTVBuzz, Bay11 p...
user_location                                         Springfield, MO
user_created_at                                            10/09/2011
pinneed_tweet                                                     NaN
profile_url                                   https://t.co/2IZTAP300s
verified_status                                                 False
listed_count                                                       18
following_count                                                   675
pinned_tweet                                                     None
Name: 4, dtype: object",1,17,0,1,,,Missouri school districts worried about getting stranded up Eric Schmitt's Creek need to just protect kids and teachers and let the AG come after them. This is the exact time we need to be masking/mitigating. Timing is everything.,"{'neg': 0.054, 'neu': 0.882, 'pos': 0.064, 'compound': 0.1027}",0.1027,,"['Place', 'Missouri', 'Person', 'Eric Schmitt']",,
1481085687734673412,2022-01-12 02:08:39+00:00,@rachelroyalkc @LadyMar21878376 https://t.co/3hDdggxKBr,und,Twitter for Android,everyone,1481077080045535235,2859085459,18216262,"user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object","user_id                                                      18216262
user_name                                                  mizzoufans
followers_count                                                   234
tweet_count                                                      7579
user_description    I’m an avid fan of Mizzou, Royals, Cardinals, ...
user_location                                           Missouri, USA
user_created_at                                            12/18/2008
pinneed_tweet                                                     NaN
profile_url                                                          
verified_status                                                 False
listed_count                                                        5
following_count                                                   849
pinned_tweet                                                     None
Name: 5, dtype: object",0,0,0,0,replied_to,1481080018461675521,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,['https://justthenews.com/politics-policy/education/missouri-teachers-told-white-supremacy-includes-english-only-calling'],"['rachelroyalkc', 'LadyMar21878376']"
