tweet_id,tweet_created_at,tweet_text,tweet_lang,tweet_source,tweet_reply_settings,tweet_conversation_id,tweet_in_response_to_user,tweet_username,tweet_user_tweet_count,tweet_user_description,tweet_user_location,tweet_user_created_at,tweet_user_pinned_tweet,tweet_user_profile_url,tweet_user_verified,tweet_user_listed_count,tweet_user_following_count,tweet_user_followers_count,tweet_reply_count,tweet_like_count,tweet_quote_count,tweet_reply_count,tweet_reference_type,tweet_reference_id,tweet_clean_text,tweet_sentiment_all,tweet_sentiment_compound,tweet_hashtags,tweet_annotations,tweet_urls,tweet_mentions,tweet_user_id,tweet_context_annotations,tweet_annotations,domain_ids,entity_ids
1481422333277523979,2022-01-13 00:26:22+00:00,RT @BobOnderMO: Call this what you want - woke orthodoxy comes to mind - but don’t call this science.,en,Twitter for Android,everyone,1481422333277523979,,GregWirtel,20769,,,2011-11-15 23:40:28+00:00,,https://pbs.twimg.com/profile_images/1055495083502514177/u3X7KN2N_normal.jpg,False,1,658,177,0,0,0,0,retweeted,1481397983597969418,: Call this what you want - woke orthodoxy comes to mind - but don’t call this science.,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.0387}",0.0387,,,,['BobOnderMO'],413504743,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1412579054855671809', 'name': 'Google Innovation'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '864925500627484672', 'name': 'Family and life stages', 'description': 'Family and Life Stages'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864926035569135616', 'name': 'Parenting K-6 kids', 'description': 'Parenting K-6 kids'}}]",,"['46', 'description: Family and Life Stages 66', 'name: Services 48', 'name: Google Innovation 65']","['864926035569135616', '1412579054855671809', '781974596752842752', '864925500627484672']"
1481416733927919616,2022-01-13 00:04:07+00:00,@scottfaughn @hrehder @moll_aj https://t.co/PdmKvP9hy2,und,Twitter for Android,everyone,1480667648367239172,23410991,PhilSto49697189,129,,,2021-09-21 23:20:40+00:00,,https://pbs.twimg.com/profile_images/1440455971004837893/Vc9O2x01_normal.png,False,0,15,2,0,0,0,0,replied_to,1481162883631394820,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,['https://twitter.com/PhilSto49697189/status/1481416733927919616/photo/1'],"['scottfaughn', 'hrehder', 'moll_aj']",1440455601335664649,[],,[],[]
1481416171652005888,2022-01-13 00:01:53+00:00,"@calebrowden Threats against teachers, students, and other school officials needs to end. And I'm tired of ""Oh the Email BS."" 
⭐️Stand up for science &amp; stop being part of the problem. And Save some lives for the Love of God. #moleg
https://t.co/xEgMAC2G4y",en,Twitter Web App,everyone,1481266406104707079,15323106,PrincessNCastle,4185,Faith Keepers of the Big Lie are #Traitors. Don't Be Their Tribute. #Vote 🌊🇺🇸🗽,,2019-10-08 00:49:21+00:00,1354834455211495427,https://pbs.twimg.com/profile_images/1481170061335400450/YW-KejwF_normal.jpg,False,4,366,419,0,0,0,0,replied_to,1481266406104707079,"Threats against teachers, students, and other school officials needs to end. And I'm tired of ""Oh the Email BS."" ⭐️Stand up for science &amp; stop being part of the problem. And Save some lives for the Love of God. #moleg","{'neg': 0.2, 'neu': 0.621, 'pos': 0.179, 'compound': -0.0258}",-0.0258,['moleg'],"['Other', 'God']",['https://youtu.be/wuTlBvCJSqg'],['calebrowden'],1181370740056047616,[],"['Other', 'God']",[],[]
1481410258173980673,2022-01-12 23:38:23+00:00,"RT @BrianWilliamsMO: One year ago today, violent terrorists attacked our nation’s Capitol to sabotage democracy. Thanks to the bravery of C…",en,Twitter for Android,everyone,1481410258173980673,,ofrhythm,17413,"Chief #BeenBlocked |
Black Persian |
#facts #reason #noGod #noMasters
Changing the world of tomorrow. #UX #IxD
#Gyros #Reubens #Tiramisu
Progressive Globalist",LA,2012-03-08 22:12:36+00:00,1295844633658851329,https://pbs.twimg.com/profile_images/1355218696592044035/Rcv4E2KQ_normal.jpg,False,2,155,167,0,0,0,0,retweeted,1479139021414674439,": One year ago today, violent terrorists attacked our nation’s Capitol to sabotage democracy. Thanks to the bravery of C…","{'neg': 0.43, 'neu': 0.388, 'pos': 0.182, 'compound': -0.8519}",-0.8519,,"['Place', 'Capitol']",,['BrianWilliamsMO'],518930478,[],"['Place', 'Capitol']",[],[]
1481408585976451077,2022-01-12 23:31:44+00:00,"RT @DLHoskins: If @DaveSchatzMO &amp; @calebrowden are “looking to move past divisions"" by assigning conservative pro-life/2A/COVID anti-mandat…",en,Twitter for iPhone,following,1481408585976451077,,JohnLamping,13185,"Husband, father, friend, and former State Senator.","Magis Farm  Augusta, Missouri",2009-06-28 17:53:41+00:00,1415390419907715075,https://pbs.twimg.com/profile_images/1477086273890361347/t1EeqOQd_normal.jpg,False,46,1784,2070,0,0,0,0,retweeted,1481386185318612992,": If &amp; are “looking to move past divisions"" by assigning conservative pro-life/2A/COVID anti-mandat…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,,"['DLHoskins', 'DaveSchatzMO', 'calebrowden']",51791534,"[{'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044152988', 'name': 'Planned Parenthood'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '877326946253684737', 'name': 'United States Senate', 'description': 'United States Senate'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '961705302700654593', 'name': 'United States Congress', 'description': 'United States Congress'}}]",,"['name: Planned Parenthood 88', 'name: Non-profit 47', 'name: Government/Education 46', '88', 'name: COVID-19 45', 'description: United States Congress 123', 'description: United States Senate 88']","['961705302700654593', '10044152988', '781974597226729473', '1220701888179359745', '877326946253684737', '781974596157251587']"
1481405448720990211,2022-01-12 23:19:16+00:00,@nobulart Planes spraying a lot everywhere according to posts...??? @BobOnderMO @AGEricSchmitt @GovParsonMO,en,Twitter for iPhone,everyone,1456576240484241413,1421235901221543938,STAYWISE111,2653,,,2020-01-11 21:11:18+00:00,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,1,126,47,0,0,0,0,replied_to,1471181377848721414,Planes spraying a lot everywhere according to posts...???,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,,"['nobulart', 'BobOnderMO', 'AGEricSchmitt', 'GovParsonMO']",1216105198877323268,[],,[],[]
1481403116830576645,2022-01-12 23:10:00+00:00,@BobOnderMO This is what you call psychosis!! Fire her!,en,Twitter Web App,everyone,1481397983597969418,1604949372,KitrynMarie,1499,"Artist, Writer, Speaker, Instructor, Photographer,  Biz Coach...

Magic believer...Dream Weaver...Image Maker!

Pet owner of many! Horse Enthusiast!","St Louis, MO",2018-01-07 20:06:07+00:00,,https://pbs.twimg.com/profile_images/950098063305080832/mcbCdHVd_normal.jpg,False,1,41,26,0,0,0,0,replied_to,1481397983597969418,This is what you call psychosis!! Fire her!,"{'neg': 0.319, 'neu': 0.681, 'pos': 0.0, 'compound': -0.5067}",-0.5067,,,,['BobOnderMO'],950096226866909184,[],,[],[]
1481402187871920129,2022-01-12 23:06:19+00:00,"@LAWashingtonMO @MsLisaHendricks @MomsDemand @amyinthelou @BrianWilliamsMO Gun control is racist and oppressive, how does it feel to help your oppressors?",en,Twitter for iPhone,everyone,1481272741424779264,4576171152,grapangell0,118225,mad decent. an acquired taste. sometimes at last doesn’t happen at first. keep going. Madisson Faye🖤,On my way to Penthouse 211,2009-04-19 23:54:13+00:00,975330058222161920,https://pbs.twimg.com/profile_images/1392325995592568833/7ITyDZo__normal.jpg,False,15,328,1028,0,0,0,0,replied_to,1481290425902284801,"Gun control is racist and oppressive, how does it feel to help your oppressors?","{'neg': 0.417, 'neu': 0.459, 'pos': 0.124, 'compound': -0.7506}",-0.7506,,,,"['LAWashingtonMO', 'MsLisaHendricks', 'MomsDemand', 'amyinthelou', 'BrianWilliamsMO']",33346542,[],,[],[]
1481401541898735617,2022-01-12 23:03:45+00:00,RT @BobOnderMO: Call this what you want - woke orthodoxy comes to mind - but don’t call this science.,en,Twitter for iPhone,everyone,1481401541898735617,,DLHoskins,4287,Missouri State Senator - District 21,"Warrensburg, MO",2009-03-27 21:14:02+00:00,1275095438736142338,https://pbs.twimg.com/profile_images/563801060871897088/5O2ljnRQ_normal.jpeg,False,108,1191,2593,0,0,0,0,retweeted,1481397983597969418,: Call this what you want - woke orthodoxy comes to mind - but don’t call this science.,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.0387}",0.0387,,,,['BobOnderMO'],27098871,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1412579054855671809', 'name': 'Google Innovation'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '864925500627484672', 'name': 'Family and life stages', 'description': 'Family and Life Stages'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864926035569135616', 'name': 'Parenting K-6 kids', 'description': 'Parenting K-6 kids'}}]",,"['46', 'description: Family and Life Stages 66', 'name: Services 48', 'name: Google Innovation 65']","['864926035569135616', '1412579054855671809', '781974596752842752', '864925500627484672']"
1481400011309166593,2022-01-12 22:57:40+00:00,@MEPrincipal @BrianWilliamsMO @aybaybader great in theory but i hope there are background checks when it is not a celebrity athlete.,en,Twitter for iPad,everyone,1481134935809347587,2494276952,stefenenick,28454,#T1D,314,2011-11-01 14:08:11+00:00,,https://pbs.twimg.com/profile_images/1246155447008190468/vMPsXrLs_normal.jpg,False,0,950,572,0,0,0,0,replied_to,1481134935809347587,great in theory but i hope there are background checks when it is not a celebrity athlete.,"{'neg': 0.0, 'neu': 0.67, 'pos': 0.33, 'compound': 0.7506}",0.7506,,,,"['MEPrincipal', 'BrianWilliamsMO', 'aybaybader']",402734121,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10001466882', 'name': 'MLB Baseball', 'description': 'All the latest action from Major League Baseball.'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '890015358060437504', 'name': 'Harrison Bader'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '769193663230468096', 'name': 'Baseball'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '769193602169704448', 'name': 'MLB'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '890015358060437504', 'name': 'Harrison Bader'}}]",,"['name: MLB 60', 'name: Harrison Bader 11', '3', 'description: All the latest action from Major League Baseball. 10', 'name: Baseball 26']","['890015358060437504', '769193602169704448', '769193663230468096', '10001466882']"
1481399720970964993,2022-01-12 22:56:31+00:00,@veryvirology @AGEricSchmitt @BobOnderMO @GovParsonMO @FirstLadyTeresa,und,Twitter for iPhone,everyone,1481001818012274689,2195717784,STAYWISE111,2653,,,2020-01-11 21:11:18+00:00,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,1,126,47,0,0,0,0,replied_to,1481001818012274689,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,,"['veryvirology', 'AGEricSchmitt', 'BobOnderMO', 'GovParsonMO', 'FirstLadyTeresa']",1216105198877323268,[],,[],[]
1481398774463406098,2022-01-12 22:52:45+00:00,RT @BobOnderMO: Call this what you want - woke orthodoxy comes to mind - but don’t call this science.,en,Twitter for iPhone,everyone,1481398774463406098,,SenateCaucus,810,"Tweets from the Missouri Senate Conservative Caucus.  Supporting Faith, Family and Freedom.","Jefferson City, Missouri",2021-06-02 21:09:21+00:00,1400208172468473862,https://pbs.twimg.com/profile_images/1400206812733902849/RDCw2yvU_normal.jpg,False,9,600,493,0,0,0,0,retweeted,1481397983597969418,: Call this what you want - woke orthodoxy comes to mind - but don’t call this science.,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.0387}",0.0387,,,,['BobOnderMO'],1400197790098153479,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1412579054855671809', 'name': 'Google Innovation'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '864925500627484672', 'name': 'Family and life stages', 'description': 'Family and Life Stages'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864926035569135616', 'name': 'Parenting K-6 kids', 'description': 'Parenting K-6 kids'}}]",,"['46', 'description: Family and Life Stages 66', 'name: Services 48', 'name: Google Innovation 65']","['864926035569135616', '1412579054855671809', '781974596752842752', '864925500627484672']"
1481398466035261450,2022-01-12 22:51:32+00:00,@fynn_fan @BobOnderMO @AGEricSchmitt,und,Twitter for iPhone,everyone,1481347783332401153,1461772569997156368,STAYWISE111,2653,,,2020-01-11 21:11:18+00:00,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,1,126,47,0,0,0,0,replied_to,1481347783332401153,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,,"['fynn_fan', 'BobOnderMO', 'AGEricSchmitt']",1216105198877323268,[],,[],[]
1481396929774993410,2022-01-12 22:45:25+00:00,@LAWashingtonMO @amyinthelou @BrianWilliamsMO @MomsDemand Thanks for sharing your story. Other survivors will really benefit from you turning loss into action. ❤️💔❤️💪,en,Twitter for Android,everyone,1481272741424779264,4576171152,AgitatorsNeeded,387798,"life-long voice for ending poverty, injustice and environmental harm. Moms Demand Action Lead, member of UniteBlue & #TheResistance🇺🇸#DemsWork4USA","Minnesota, USA ",2012-09-22 13:03:30+00:00,1347933546237849601,https://pbs.twimg.com/profile_images/1465754550586028037/Cgn5rkCb_normal.jpg,False,69,8534,8561,0,0,0,0,replied_to,1481272741424779264,Thanks for sharing your story. Other survivors will really benefit from you turning loss into action. ❤️💔❤️💪,"{'neg': 0.095, 'neu': 0.535, 'pos': 0.37, 'compound': 0.7713}",0.7713,,,,"['LAWashingtonMO', 'amyinthelou', 'BrianWilliamsMO', 'MomsDemand']",839722819,[],,[],[]
